nama_menu,harga_menu,kategori_course,profil_rasa,nama_restoran
Bihun goreng Ayam,23800,Main Course,gurih asin savory bihun ayam goreng,Bakmiseafood99
Mie goreng Ayam,26600,Main Course,gurih asin savory mie ayam goreng,Bakmiseafood99
Nasi Goreng Ayam,26600,Main Course,gurih asin smoky nasi goreng ayam,Bakmiseafood99
Kwetiau goreng Baso,23800,Main Course,gurih asin smoky kwetiau bakso,Bakmiseafood99
Kwetiua goreng Ayam,23800,Main Course,gurih asin smoky kwetiau ayam,Bakmiseafood99
Cap cay Goreng,33300,Main Course,gurih asin savory sayur tumis,Bakmiseafood99
Mie goreng Baso,26600,Main Course,gurih asin savory mie bakso goreng,Bakmiseafood99
Nasi Goreng Sayur,23800,Main Course,gurih asin smoky nasi goreng sayur,Bakmiseafood99
Ayam goreng Mentega,38000,Main Course,gurih asin buttery ayam goreng,Bakmiseafood99
Kerang Ijo Saus Padang,35000,Main Course,gurih asin pedas kerang saus padang,Bakmiseafood99
Ayam Rica Rica,38000,Main Course,gurih asin pedas rempah ayam rica,Bakmiseafood99
Sapo Tahu Ayam,32000,Main Course,gurih asin savory ayam tahu kuah,Bakmiseafood99
Fuyung Hay Ayam,35000,Main Course,gurih asin manis telur ayam fuyunghai,Bakmiseafood99
Capcay Kuah Ayam,33300,Main Course,gurih asin hangat capcay ayam kuah,Bakmiseafood99
Kangkung Cah,23000,Main Course,gurih asin savory kangkung tumis,Bakmiseafood99
Cah Brokoli,23000,Main Course,gurih asin savory brokoli tumis,Bakmiseafood99
Cah Toge,20000,Main Course,gurih asin savory tauge tumis,Bakmiseafood99
Capcay goreng Seafood,40000,Main Course,gurih asin savory capcay seafood,Bakmiseafood99
Sapo Tahu Seafood,40000,Main Course,gurih asin savory seafood tahu kuah,Bakmiseafood99
Sapi SapoTahu,34000,Main Course,gurih asin savory sapi tahu kuah,Bakmiseafood99
Fuyung Hai Seafood,40000,Main Course,gurih asin manis seafood telur,Bakmiseafood99
Udang Sapo Tahu,35000,Main Course,gurih asin savory udang tahu kuah,Bakmiseafood99
Kangkung Cah Cumi,30000,Main Course,gurih asin savory kangkung cumi,Bakmiseafood99
Sop Ayam Kuah,32000,Main Course,gurih asin hangat ayam kuah,Bakmiseafood99
Sop Asparagus Ayam,33000,Main Course,gurih asin hangat asparagus ayam,Bakmiseafood99
Sop Asparagus Udang,30000,Main Course,gurih asin hangat asparagus udang,Bakmiseafood99
Mun Tahu,28000,Appetizer,gurih asin lembut tahu kuah,Bakmiseafood99
Tahu Tausi,25000,Appetizer,gurih asin fermentasi tahu tausi,Bakmiseafood99
Tahu Cah Pokcay,28000,Appetizer,gurih asin savory tahu pokcay,Bakmiseafood99
Capcay Kuah Seafood,40000,Main Course,gurih asin hangat capcay seafood,Bakmiseafood99
Nasi goreng Special,30000,Main Course,gurih asin smoky nasi goreng spesial,Bakmiseafood99
Nasi goreng Seafood,30000,Main Course,gurih asin savory nasi goreng seafood,Bakmiseafood99
Nasi goreng Kambing,30000,Main Course,gurih asin rempah nasi goreng kambing,Bakmiseafood99
Nasi Goreng Baso,26600,Main Course,gurih asin smoky nasi goreng bakso,Bakmiseafood99
Nasi Goreng Teri Medan,26600,Main Course,gurih asin umami nasi teri,Bakmiseafood99
Nasi Goreng Sapi,30000,Main Course,gurih asin smoky nasi goreng sapi,Bakmiseafood99
